TradeQ,Size,BuildYear,Distance,Reform,Price
4,30,1985,3,0,21
4,65,2003,4,1,98
4,20,2004,4,0,30
4,85,2003,4,0,140
4,70,2019,3,1,170
4,55,2016,2,0,120
4,105,2016,3,0,270
3,85,2001,2,0,130
3,105,2016,3,0,240
3,50,1977,2,0,52
3,45,2009,2,0,73
3,85,2001,2,1,170
2,55,1984,1,1,58
2,55,1984,1,0,51
2,20,1976,0,0,11
2,95,1984,1,1,140
2,35,1977,2,1,48
2,40,1984,1,0,49
1,80,2001,2,0,150
1,45,2010,2,1,68
1,95,2019,3,0,220
1,25,2002,11,0,24
4,30,2007,4,0,37
4,20,2006,2,0,27
4,25,2008,4,0,30
4,35,2016,3,0,51
4,20,2006,2,0,28
3,20,2006,2,0,29
3,30,2018,4,0,42
3,30,2000,4,0,29
3,20,2006,2,0,30
2,30,2006,3,1,33
2,40,2005,4,0,43
2,30,2006,3,0,32
2,20,2004,1,0,22
1,25,2008,4,0,30
1,20,2006,2,0,29
1,35,2000,4,0,32
1,20,2006,2,0,27
3,25,2014,6,0,38
2,20,2014,6,0,36
2,25,2014,6,0,39
4,30,1978,3,1,37
2,55,2013,3,0,69
1,40,2012,4,0,47
1,35,2006,4,0,41
4,20,2003,4,0,22
4,20,1981,3,0,11
4,20,2002,5,0,23
2,15,1981,3,0,10
2,20,2002,5,1,24
4,40,2018,4,0,50
4,35,2000.5101766642038,4,0,50
3,70,2019,5,0,120
1,70,2013,5,0,85
1,50,2013,5,0,73
3,55,2013,4,0,72
1,30,2019,4,1,45
4,35,2003,1,1,49
4,25,2003,1,0,26
4,20,2003,1,1,28
2,30,2003,1,0,37
3,60,2013,2,1,170
4,20,2000,4,0,24
3,50,2000,6,1,57
1,15,1980,3,0,10
1,15,1980,3,0,14
1,20,1980,3,0,14
2,15,1982,3,1,16
2,35,2012,1,0,47
1,30,2000.5101766642038,2,0,39
1,40,2012,2,0,47
3,25,2009,6,0,27
1,40,2018,5,0,66
4,25,2013,4,0,28
4,20,2009,7,0,30
3,20,2009,7,0,27
2,20,2009,7,0,28
4,40,2000,3,0,51
3,20,1997,2,0,21
1,20,1997,2,0,21
4,50,2003,1,0,75
4,55,2008,2,0,81
4,40,2009,3,0,54
3,50,2005,1,1,77
3,70,2003,1,0,140
2,35,2014,2,0,47
2,70,2003,1,0,150
2,100,2003,1,0,220
4,25,2018,2,0,41
4,25,2018,2,0,40
1,20,2004,3,0,24
1,55,2018,2,0,98
4,20,2004,1,0,26
3,55,2004,1,0,60
1,30,2004,1,1,44
2,25,2002,2,0,26
4,15,1975,4,0,14
2,15,1977,1,0,14
1,20,1975,4,1,18
4,30,2007,2,0,38
3,20,2004,2,1,27
2,20,2005,1,0,25
1,20,2004,2,0,27
2,30,2007,2,0,38
4,20,2005,3,0,28
3,30,2005,3,1,38
3,20,2005,3,0,25
4,40,2011,4,1,52
1,40,2012,3,1,45
4,20,2003,6,0,30
3,20,2002,4,0,25
3,55,2018,5,0,84
2,20,2002,4,0,26
2,20,2003,4,0,23
2,20,2003,4,0,27
1,20,2003,4,0,27
1,50,2002,5,0,60
1,40,2006,2,0,60
4,20,2005,4,0,24
2,25,2003,2,0,19
3,30,2013,3,0,25
3,25,2017,1,0,43
4,50,2017,1,0,89
