TradeYear,Y,Size,Tenure,Distance,RoomNumber,Youseki,Reform
2024,18.358805340234277,40,3,3,1,400,0
2019,18.420680743952367,65,12,4,2,500,1
2024,18.683045008419857,65,21,4,2,500,0
2019,18.400478036634848,65,16,4,2,500,1
2019,17.875953568510692,40,7,3,1,500,0
2024,19.6146032124248,95,5,3,3,500,0
2024,19.11382792451231,80,23,3,2,500,0
2024,19.879295766651882,105,8,3,2,400,0
2024,18.60300230074632,60,45,1,2,600,1
2024,18.60300230074632,80,52,3,3,400,0
2019,17.281246460764002,25,6,1,1,500,0
2019,17.182806387950748,25,6,1,1,500,0
2019,18.60300230074632,70,15,3,2,500,0
2019,17.37085861945369,25,6,1,1,500,0
2019,18.420680743952367,95,35,1,3,600,0
2024,17.073607095985757,20,20,4,1,800,0
2024,17.341871082580436,30,18,3,1,500,1
2024,17.034386382832476,20,21,4,1,600,0
2024,17.216707939626428,20,18,2,1,700,0
2024,17.281246460764002,20,18,2,1,600,0
2019,17.312018119430753,30,6,4,1,600,0
2019,17.182806387950748,20,13,2,1,700,1
2019,16.99356438831222,20,15,1,1,700,0
2019,16.64872390202049,25,13,3,1,500,0
2019,17.034386382832476,20,13,2,1,700,0
2019,16.99356438831222,20,15,1,1,700,1
2019,17.111347423968603,25,5,6,1,600,0
2019,17.281246460764002,25,11,5,1,600,0
2019,17.942644943009366,55,7,6,2,600,0
2019,16.951004773893423,20,17,5,1,600,0
2019,16.99356438831222,20,17,5,1,600,0
2024,17.034386382832476,20,23,5,1,600,0
2024,17.7473361906886,25,2,4,1,800,0
2024,19.209138104316636,75,2,4,3,800,1
2024,17.111347423968603,20,17,5,1,600,0
2024,18.60300230074632,50,5,5,1,600,0
2024,16.759949537130716,15,45,6,1,700,1
2019,16.523560759066484,15,40,6,1,700,1
2019,18.683045008419857,70,6,3,2,600,0
2019,19.11382792451231,100,6,3,3,600,0
2019,16.951004773893423,20,19,4,1,500,0
2019,16.213405830762646,15,39,4,1,600,0
2019,16.454567887579532,25,39,3,1,600,0
2024,16.588099280204055,15,42,4,1,500,0
2019,16.951004773893423,25,15,4,1,600,0
2024,17.80449460452855,45,21,4,1,800,0
2019,17.7667542765457,40,1,5,1,600,0
2019,16.90655301132259,20,19,6,1,700,0
2024,18.60300230074632,60,8,5,2,600,1
2024,18.683045008419857,55,8,3,1,600,0
2024,17.686711568872166,40,15,6,2,600,0
2024,17.399029496420383,25,15,6,1,600,0
2024,18.75715298057358,70,6,5,2,600,1
2019,17.111347423968603,20,10,6,1,600,0
2019,17.281246460764002,25,6,4,1,500,0
2019,17.216707939626428,25,6,4,1,600,0
2019,16.38045991542581,20,41,3,1,500,0
2019,16.64872390202049,20,41,3,1,500,1
2024,18.51599092375669,50,21,1,1,600,0
2024,17.64415195445337,25,1,2,1,500,0
2024,18.890684373198102,65,21,1,2,600,0
2024,18.420680743952367,50,21,1,1,600,0
2024,16.70588231586044,20,42,2,1,600,1
2019,17.47907220409392,25,14,1,1,600,0
2019,18.29284737244248,65,16,1,1,600,1
2019,16.38045991542581,20,17,2,1,600,0
2024,16.951004773893423,20,20,1,1,800,1
2019,17.073607095985757,30,15,1,1,800,0
2024,16.523560759066484,15,47,1,1,500,0
2024,16.523560759066484,15,47,1,1,500,0
2019,16.300417207752275,15,42,3,1,500,1
2019,18.049617062561534,55,7,2,2,700,0
2019,17.034386382832476,20,12,2,1,600,0
2019,17.14771506813948,20,12,2,1,600,0
2019,17.073607095985757,25,14,3,1,700,0
2019,16.99356438831222,25,12,2,1,700,0
2019,17.182806387950748,20,12,4,1,700,1
2024,17.111347423968603,25,19,3,1,600,0
2024,17.4264284706085,30,19,4,1,600,0
2019,17.14771506813948,20,14,4,1,600,0
2019,17.111347423968603,25,7,3,1,600,0
2024,17.312018119430753,20,21,6,1,600,1
2019,17.182806387950748,20,16,6,1,600,0
2019,17.665658159674333,50,17,5,2,600,0
2024,18.420680743952367,50,18,2,1,600,0
2019,16.951004773893423,20,14,2,1,600,0
2019,17.909855120186375,60,17,4,2,600,0
2019,17.926384422137584,60,15,4,1,600,0
2019,17.47907220409392,35,6,3,1,500,0
2024,19.209138104316636,65,9,2,3,500,1
2024,17.312018119430753,25,12,2,1,500,0
2019,16.99356438831222,20,19,1,1,500,0
2019,16.860032995687696,20,19,1,1,500,0
2024,17.281246460764002,30,39,2,1,700,0
2024,17.111347423968603,20,21,6,1,500,1
2024,18.951308995014536,60,16,4,2,500,1
2019,18.31532022829454,55,6,2,2,500,0
2019,18.337299135013314,60,6,2,2,500,0
2019,18.064005800013632,55,21,8,1,700,1
2024,18.269857854217783,60,24,8,2,500,0
2019,18.132998671500584,60,19,8,1,500,1
2024,17.399029496420383,25,12,5,1,400,0
2019,17.073607095985757,20,17,3,1,700,0
2019,17.24949776244942,25,7,5,1,400,0
2024,16.70588231586044,15,42,2,1,700,0
2024,18.132998671500584,55,42,1,2,700,1
2024,18.31532022829454,70,42,1,3,700,0
2024,18.75715298057358,80,33,1,3,600,0
2024,18.304146927696415,40,5,2,1,800,0
2024,18.0051652999907,75,53,3,3,400,0
2019,17.47907220409392,30,48,3,1,400,0
2024,19.209138104316636,70,7,4,2,500,0
2024,17.281246460764002,25,53,6,1,400,1
2024,17.034386382832476,20,21,4,1,500,0
2024,17.4264284706085,35,53,6,1,400,1
2024,19.41393251696265,80,7,4,2,500,1
2019,17.281246460764002,25,34,3,1,500,1
2019,16.99356438831222,20,16,6,1,500,0
2024,16.811242831518264,15,38,5,1,500,0
2024,19.583831553758046,105,16,3,2,500,0
2019,19.162618088681743,100,5,4,2,400,0
2019,18.51599092375669,60,11,3,1,500,0
2019,18.82614585206053,75,14,4,2,400,0
2019,18.683045008419857,65,5,4,2,400,0
2024,18.683045008419857,70,20,5,2,800,0
2019,16.64872390202049,20,16,3,1,600,0
2019,18.683045008419857,80,15,2,3,800,0
2019,17.182806387950748,20,15,4,1,500,0
2019,18.159315979817958,60,9,6,2,500,0
2024,17.399029496420383,30,19,2,1,600,0
2024,17.312018119430753,20,10,6,1,600,0
2024,17.312018119430753,30,10,6,1,600,0
